metro_line,line_type
A Line,2
B Line (extension to North Hollywood),3
B Line (to Hollywood/Vine),3
C Line,2
D Line (to Wilshire/Western),3
D Line Extension (Phase 1),3
D Line Extension (Phase 2),3
D Line Extension (Phase 3),3
E (Phase 2),2
E Line (Phase 1): Culver City,2
E Line (Phase 1): to La Cienega/Jefferson,2
E Line (Phase 2),2
East San Fernando Valley Transit Corridor,2
L Line (Foothill Extension Phase 2B: Claremont + Montclair),2
G Line (Phase 1),1
G Line (Phase 2),1
K Line,2
L Line (Eastside Transit Corridor Phase 1: Union Station to Atlantic Station),2
L Line (Eastside Transit Corridor Phase 2: Atlantic/Whittier to Lambert),2
L Line (Foothill Extension Phase 1: Union Station to Sierra Madre),2
L Line (Foothill Extension Phase 2A: Arcadia to APU/Citrus College),2
L Line (Foothill Extension Phase 2B: Glendora to Pomona),2
North Hollywood to Pasadena Transit Corridor,1
West Santa Ana Branch Transit Corridor,2
-,0